id,name,base_xp,height,weight,nabilities,abilities,meanstats,stats,ntypes,types,islegendary
1,bulbasaur,64,70,6.9,2,"['overgrow', 'chlorophyll']",53,"{'hp': 45, 'attack': 49, 'defense': 49, 'special-attack': 65, 'special-defense': 65, 'speed': 45}",2,"['grass', 'poison']",0
2,ivysaur,142,100,13.0,2,"['overgrow', 'chlorophyll']",67,"{'hp': 60, 'attack': 62, 'defense': 63, 'special-attack': 80, 'special-defense': 80, 'speed': 60}",2,"['grass', 'poison']",0
3,venusaur,263,200,100.0,2,"['overgrow', 'chlorophyll']",87,"{'hp': 80, 'attack': 82, 'defense': 83, 'special-attack': 100, 'special-defense': 100, 'speed': 80}",2,"['grass', 'poison']",0
4,charmander,62,60,8.5,2,"['blaze', 'solar-power']",51,"{'hp': 39, 'attack': 52, 'defense': 43, 'special-attack': 60, 'special-defense': 50, 'speed': 65}",1,['fire'],0
5,charmeleon,142,110,19.0,2,"['blaze', 'solar-power']",67,"{'hp': 58, 'attack': 64, 'defense': 58, 'special-attack': 80, 'special-defense': 65, 'speed': 80}",1,['fire'],0
6,charizard,267,170,90.5,2,"['blaze', 'solar-power']",89,"{'hp': 78, 'attack': 84, 'defense': 78, 'special-attack': 109, 'special-defense': 85, 'speed': 100}",2,"['fire', 'flying']",0
7,squirtle,63,50,9.0,2,"['torrent', 'rain-dish']",52,"{'hp': 44, 'attack': 48, 'defense': 65, 'special-attack': 50, 'special-defense': 64, 'speed': 43}",1,['water'],0
8,wartortle,142,100,22.5,2,"['torrent', 'rain-dish']",67,"{'hp': 59, 'attack': 63, 'defense': 80, 'special-attack': 65, 'special-defense': 80, 'speed': 58}",1,['water'],0
9,blastoise,265,160,85.5,2,"['torrent', 'rain-dish']",88,"{'hp': 79, 'attack': 83, 'defense': 100, 'special-attack': 85, 'special-defense': 105, 'speed': 78}",1,['water'],0
10,caterpie,39,30,2.9,2,"['shield-dust', 'run-away']",32,"{'hp': 45, 'attack': 30, 'defense': 35, 'special-attack': 20, 'special-defense': 20, 'speed': 45}",1,['bug'],0
11,metapod,72,70,9.9,1,['shed-skin'],34,"{'hp': 50, 'attack': 20, 'defense': 55, 'special-attack': 25, 'special-defense': 25, 'speed': 30}",1,['bug'],0
12,butterfree,198,110,32.0,2,"['compound-eyes', 'tinted-lens']",65,"{'hp': 60, 'attack': 45, 'defense': 50, 'special-attack': 90, 'special-defense': 80, 'speed': 70}",2,"['bug', 'flying']",0
13,weedle,39,30,3.2,2,"['shield-dust', 'run-away']",32,"{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 20, 'special-defense': 20, 'speed': 50}",2,"['bug', 'poison']",0
14,kakuna,72,60,10.0,1,['shed-skin'],34,"{'hp': 45, 'attack': 25, 'defense': 50, 'special-attack': 25, 'special-defense': 25, 'speed': 35}",2,"['bug', 'poison']",0
15,beedrill,178,100,29.5,2,"['swarm', 'sniper']",65,"{'hp': 65, 'attack': 90, 'defense': 40, 'special-attack': 45, 'special-defense': 80, 'speed': 75}",2,"['bug', 'poison']",0
16,pidgey,50,30,1.8,3,"['keen-eye', 'tangled-feet', 'big-pecks']",41,"{'hp': 40, 'attack': 45, 'defense': 40, 'special-attack': 35, 'special-defense': 35, 'speed': 56}",2,"['normal', 'flying']",0
17,pidgeotto,122,110,30.0,3,"['keen-eye', 'tangled-feet', 'big-pecks']",58,"{'hp': 63, 'attack': 60, 'defense': 55, 'special-attack': 50, 'special-defense': 50, 'speed': 71}",2,"['normal', 'flying']",0
18,pidgeot,216,150,39.5,3,"['keen-eye', 'tangled-feet', 'big-pecks']",79,"{'hp': 83, 'attack': 80, 'defense': 75, 'special-attack': 70, 'special-defense': 70, 'speed': 101}",2,"['normal', 'flying']",0
19,rattata,51,30,3.5,3,"['run-away', 'guts', 'hustle']",42,"{'hp': 30, 'attack': 56, 'defense': 35, 'special-attack': 25, 'special-defense': 35, 'speed': 72}",1,['normal'],0
20,raticate,145,70,18.5,3,"['run-away', 'guts', 'hustle']",68,"{'hp': 55, 'attack': 81, 'defense': 60, 'special-attack': 50, 'special-defense': 70, 'speed': 97}",1,['normal'],0
21,spearow,52,30,2.0,2,"['keen-eye', 'sniper']",43,"{'hp': 40, 'attack': 60, 'defense': 30, 'special-attack': 31, 'special-defense': 31, 'speed': 70}",2,"['normal', 'flying']",0
22,fearow,155,120,38.0,2,"['keen-eye', 'sniper']",73,"{'hp': 65, 'attack': 90, 'defense': 65, 'special-attack': 61, 'special-defense': 61, 'speed': 100}",2,"['normal', 'flying']",0
23,ekans,58,200,6.9,3,"['intimidate', 'shed-skin', 'unnerve']",48,"{'hp': 35, 'attack': 60, 'defense': 44, 'special-attack': 40, 'special-defense': 54, 'speed': 55}",1,['poison'],0
24,arbok,157,350,65.0,3,"['intimidate', 'shed-skin', 'unnerve']",74,"{'hp': 60, 'attack': 95, 'defense': 69, 'special-attack': 65, 'special-defense': 79, 'speed': 80}",1,['poison'],0
25,pikachu,112,40,6.0,2,"['static', 'lightning-rod']",53,"{'hp': 35, 'attack': 55, 'defense': 40, 'special-attack': 50, 'special-defense': 50, 'speed': 90}",1,['electric'],0
26,raichu,243,80,30.0,2,"['static', 'lightning-rod']",80,"{'hp': 60, 'attack': 90, 'defense': 55, 'special-attack': 90, 'special-defense': 80, 'speed': 110}",1,['electric'],0
27,sandshrew,60,60,12.0,2,"['sand-veil', 'sand-rush']",50,"{'hp': 50, 'attack': 75, 'defense': 85, 'special-attack': 20, 'special-defense': 30, 'speed': 40}",1,['ground'],0
28,sandslash,158,100,29.5,2,"['sand-veil', 'sand-rush']",75,"{'hp': 75, 'attack': 100, 'defense': 110, 'special-attack': 45, 'special-defense': 55, 'speed': 65}",1,['ground'],0
29,nidoran-f,55,40,7.0,3,"['poison-point', 'rivalry', 'hustle']",45,"{'hp': 55, 'attack': 47, 'defense': 52, 'special-attack': 40, 'special-defense': 40, 'speed': 41}",1,['poison'],0
30,nidorina,128,80,20.0,3,"['poison-point', 'rivalry', 'hustle']",60,"{'hp': 70, 'attack': 62, 'defense': 67, 'special-attack': 55, 'special-defense': 55, 'speed': 56}",1,['poison'],0
31,nidoqueen,253,130,60.0,3,"['poison-point', 'rivalry', 'sheer-force']",84,"{'hp': 90, 'attack': 92, 'defense': 87, 'special-attack': 75, 'special-defense': 85, 'speed': 76}",2,"['poison', 'ground']",0
32,nidoran-m,55,50,9.0,3,"['poison-point', 'rivalry', 'hustle']",45,"{'hp': 46, 'attack': 57, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 50}",1,['poison'],0
33,nidorino,128,90,19.5,3,"['poison-point', 'rivalry', 'hustle']",60,"{'hp': 61, 'attack': 72, 'defense': 57, 'special-attack': 55, 'special-defense': 55, 'speed': 65}",1,['poison'],0
34,nidoking,253,140,62.0,3,"['poison-point', 'rivalry', 'sheer-force']",84,"{'hp': 81, 'attack': 102, 'defense': 77, 'special-attack': 85, 'special-defense': 75, 'speed': 85}",2,"['poison', 'ground']",0
35,clefairy,113,60,7.5,3,"['cute-charm', 'magic-guard', 'friend-guard']",53,"{'hp': 70, 'attack': 45, 'defense': 48, 'special-attack': 60, 'special-defense': 65, 'speed': 35}",1,['fairy'],0
36,clefable,242,130,40.0,3,"['cute-charm', 'magic-guard', 'unaware']",80,"{'hp': 95, 'attack': 70, 'defense': 73, 'special-attack': 95, 'special-defense': 90, 'speed': 60}",1,['fairy'],0
37,vulpix,60,60,9.9,2,"['flash-fire', 'drought']",49,"{'hp': 38, 'attack': 41, 'defense': 40, 'special-attack': 50, 'special-defense': 65, 'speed': 65}",1,['fire'],0
38,ninetales,177,110,19.9,2,"['flash-fire', 'drought']",84,"{'hp': 73, 'attack': 76, 'defense': 75, 'special-attack': 81, 'special-defense': 100, 'speed': 100}",1,['fire'],0
39,jigglypuff,95,50,5.5,3,"['cute-charm', 'competitive', 'friend-guard']",45,"{'hp': 115, 'attack': 45, 'defense': 20, 'special-attack': 45, 'special-defense': 25, 'speed': 20}",2,"['normal', 'fairy']",0
40,wigglytuff,218,100,12.0,3,"['cute-charm', 'competitive', 'frisk']",72,"{'hp': 140, 'attack': 70, 'defense': 45, 'special-attack': 85, 'special-defense': 50, 'speed': 45}",2,"['normal', 'fairy']",0
41,zubat,49,80,7.5,2,"['inner-focus', 'infiltrator']",40,"{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 30, 'special-defense': 40, 'speed': 55}",2,"['poison', 'flying']",0
42,golbat,159,160,55.0,2,"['inner-focus', 'infiltrator']",75,"{'hp': 75, 'attack': 80, 'defense': 70, 'special-attack': 65, 'special-defense': 75, 'speed': 90}",2,"['poison', 'flying']",0
43,oddish,64,50,5.4,2,"['chlorophyll', 'run-away']",53,"{'hp': 45, 'attack': 50, 'defense': 55, 'special-attack': 75, 'special-defense': 65, 'speed': 30}",2,"['grass', 'poison']",0
44,gloom,138,80,8.6,2,"['chlorophyll', 'stench']",65,"{'hp': 60, 'attack': 65, 'defense': 70, 'special-attack': 85, 'special-defense': 75, 'speed': 40}",2,"['grass', 'poison']",0
45,vileplume,245,120,18.6,2,"['chlorophyll', 'effect-spore']",81,"{'hp': 75, 'attack': 80, 'defense': 85, 'special-attack': 110, 'special-defense': 90, 'speed': 50}",2,"['grass', 'poison']",0
46,paras,57,30,5.4,3,"['effect-spore', 'dry-skin', 'damp']",47,"{'hp': 35, 'attack': 70, 'defense': 55, 'special-attack': 45, 'special-defense': 55, 'speed': 25}",2,"['bug', 'grass']",0
47,parasect,142,100,29.5,3,"['effect-spore', 'dry-skin', 'damp']",67,"{'hp': 60, 'attack': 95, 'defense': 80, 'special-attack': 60, 'special-defense': 80, 'speed': 30}",2,"['bug', 'grass']",0
48,venonat,61,100,30.0,3,"['compound-eyes', 'tinted-lens', 'run-away']",50,"{'hp': 60, 'attack': 55, 'defense': 50, 'special-attack': 40, 'special-defense': 55, 'speed': 45}",2,"['bug', 'poison']",0
49,venomoth,158,150,12.5,3,"['shield-dust', 'tinted-lens', 'wonder-skin']",75,"{'hp': 70, 'attack': 65, 'defense': 60, 'special-attack': 90, 'special-defense': 75, 'speed': 90}",2,"['bug', 'poison']",0
50,diglett,53,20,0.8,3,"['sand-veil', 'arena-trap', 'sand-force']",44,"{'hp': 10, 'attack': 55, 'defense': 25, 'special-attack': 35, 'special-defense': 45, 'speed': 95}",1,['ground'],0
51,dugtrio,149,70,33.3,3,"['sand-veil', 'arena-trap', 'sand-force']",70,"{'hp': 35, 'attack': 100, 'defense': 50, 'special-attack': 50, 'special-defense': 70, 'speed': 120}",1,['ground'],0
52,meowth,58,40,4.2,3,"['pickup', 'technician', 'unnerve']",48,"{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 40, 'special-defense': 40, 'speed': 90}",1,['normal'],0
53,persian,154,100,32.0,3,"['limber', 'technician', 'unnerve']",73,"{'hp': 65, 'attack': 70, 'defense': 60, 'special-attack': 65, 'special-defense': 65, 'speed': 115}",1,['normal'],0
54,psyduck,64,80,19.6,3,"['damp', 'cloud-nine', 'swift-swim']",53,"{'hp': 50, 'attack': 52, 'defense': 48, 'special-attack': 65, 'special-defense': 50, 'speed': 55}",1,['water'],0
55,golduck,175,170,76.6,3,"['damp', 'cloud-nine', 'swift-swim']",83,"{'hp': 80, 'attack': 82, 'defense': 78, 'special-attack': 95, 'special-defense': 80, 'speed': 85}",1,['water'],0
56,mankey,61,50,28.0,3,"['vital-spirit', 'anger-point', 'defiant']",50,"{'hp': 40, 'attack': 80, 'defense': 35, 'special-attack': 35, 'special-defense': 45, 'speed': 70}",1,['fighting'],0
57,primeape,159,100,32.0,3,"['vital-spirit', 'anger-point', 'defiant']",75,"{'hp': 65, 'attack': 105, 'defense': 60, 'special-attack': 60, 'special-defense': 70, 'speed': 95}",1,['fighting'],0
58,growlithe,70,70,19.0,3,"['intimidate', 'flash-fire', 'justified']",58,"{'hp': 55, 'attack': 70, 'defense': 45, 'special-attack': 70, 'special-defense': 50, 'speed': 60}",1,['fire'],0
59,arcanine,194,190,155.0,3,"['intimidate', 'flash-fire', 'justified']",92,"{'hp': 90, 'attack': 110, 'defense': 80, 'special-attack': 100, 'special-defense': 80, 'speed': 95}",1,['fire'],0
